0,1,2,3,4,5,6,7,x,y,label
1822.0,1588.0,1462.0,1215.0,1131.0,1409.0,1409.0,824.0,699712.2130491084,9313207.816125128,water
1830.0,1589.0,1503.0,1224.0,1138.0,1479.0,1457.0,836.0,699536.9438404804,9313072.187857023,water
1870.0,1623.0,1466.0,1225.0,1141.0,1360.0,1352.0,818.0,699732.0682893322,9313200.981743407,water
1863.0,1618.0,1521.0,1241.0,1148.0,1485.0,1482.0,859.0,699533.2491561758,9313105.532001093,water
1825.0,1601.0,1483.0,1210.0,1130.0,1447.0,1446.0,827.0,699630.2771891053,9313106.591476817,water
1870.0,1624.0,1509.0,1243.0,1142.0,1485.0,1478.0,850.0,699557.2654392805,9313101.180756241,water
1888.0,1646.0,1541.0,1263.0,1178.0,1513.0,1519.0,879.0,699493.9337287012,9313081.537992125,water
1883.0,1630.0,1517.0,1246.0,1165.0,1477.0,1479.0,846.0,699608.3283199287,9313110.111235311,water
1828.0,1597.0,1484.0,1211.0,1120.0,1436.0,1431.0,826.0,699633.426789072,9313119.315639615,water
1864.0,1626.0,1524.0,1251.0,1166.0,1488.0,1488.0,860.0,699495.454616998,9313060.69121483,water
1839.0,1607.0,1494.0,1219.0,1132.0,1450.0,1437.0,826.0,699589.3317186971,9313120.59191295,water
1835.0,1604.0,1512.0,1235.0,1146.0,1483.0,1476.0,839.0,699520.2083901993,9313054.758713668,water
1845.0,1611.0,1508.0,1243.0,1153.0,1487.0,1468.0,854.0,699523.8434925643,9313082.19431086,water
1880.0,1645.0,1534.0,1270.0,1182.0,1508.0,1508.0,875.0,699501.3970423406,9313067.278496005,water
1860.0,1615.0,1466.0,1224.0,1153.0,1374.0,1384.0,832.0,699719.5411014247,9313214.454697987,water
1876.0,1639.0,1525.0,1250.0,1161.0,1492.0,1476.0,859.0,699554.6921593216,9313103.738347502,water
1902.0,1652.0,1550.0,1270.0,1189.0,1521.0,1517.0,873.0,699497.7093306595,9313058.372890767,water
1861.0,1621.0,1525.0,1242.0,1155.0,1502.0,1484.0,861.0,699545.2360467914,9313054.807864996,water
1843.0,1629.0,1529.0,1250.0,1169.0,1509.0,1495.0,855.0,699513.6740912341,9313029.665568888,water
1868.0,1629.0,1509.0,1230.0,1154.0,1468.0,1462.0,842.0,699632.6196231646,9313112.582058921,water
1877.0,1643.0,1526.0,1257.0,1172.0,1494.0,1508.0,860.0,699492.1879152261,9313070.316162923,water
1889.0,1652.0,1550.0,1272.0,1188.0,1520.0,1505.0,870.0,699505.6785499663,9313054.835213225,water
1876.0,1645.0,1532.0,1257.0,1168.0,1508.0,1498.0,864.0,699541.4100913566,9313080.196402187,water
1863.0,1628.0,1517.0,1247.0,1142.0,1498.0,1472.0,852.0,699554.5402693212,9313075.486681283,water
1831.0,1599.0,1499.0,1225.0,1136.0,1457.0,1447.0,845.0,699597.3859433333,9313104.807731465,water
1810.0,1580.0,1463.0,1193.0,1115.0,1413.0,1396.0,813.0,699643.8989648665,9313126.916714864,water
1852.0,1619.0,1509.0,1237.0,1147.0,1475.0,1472.0,842.0,699544.783854026,9313098.70430555,water
1856.0,1619.0,1518.0,1240.0,1150.0,1481.0,1482.0,853.0,699611.9873667764,9313093.885299101,water
1855.0,1622.0,1510.0,1237.0,1159.0,1470.0,1464.0,850.0,699605.0089316041,9313115.446050014,water
1843.0,1608.0,1504.0,1243.0,1145.0,1480.0,1462.0,843.0,699522.9682306342,9313086.47389686,water
1900.0,1656.0,1543.0,1257.0,1180.0,1506.0,1515.0,869.0,699616.0054935601,9313096.146281743,water
1825.0,1590.0,1493.0,1216.0,1142.0,1476.0,1450.0,843.0,699549.7728128925,9313074.863414884,water
1847.0,1613.0,1509.0,1242.0,1150.0,1477.0,1473.0,851.0,699542.3924489352,9313109.573479382,water
1862.0,1619.0,1512.0,1232.0,1150.0,1481.0,1474.0,849.0,699587.0682946999,9313096.196612444,water
1928.0,1665.0,1565.0,1289.0,1195.0,1529.0,1526.0,875.0,699583.3797529481,9313098.423279023,water
1905.0,1665.0,1554.0,1282.0,1189.0,1529.0,1512.0,868.0,699519.6106312805,9313076.481038567,water
1862.0,1639.0,1523.0,1248.0,1168.0,1500.0,1483.0,869.0,699529.6137454233,9313097.75429172,water
1877.0,1639.0,1530.0,1259.0,1170.0,1507.0,1492.0,862.0,699544.594407234,9313106.638519358,water
1854.0,1618.0,1505.0,1229.0,1152.0,1482.0,1484.0,846.0,699595.3338409375,9313082.159755915,water
1864.0,1647.0,1524.0,1240.0,1156.0,1486.0,1478.0,843.0,699591.8755407371,9313093.56204251,water
