,0,1,2,3,4,5,6,7,x,y,label
0,537.0,437.0,456.0,502.0,388.0,658.0,531.0,456.0,106.8857715805032,-6.338229894511746,water
1,429.0,408.0,432.0,435.0,406.0,617.0,492.0,360.0,106.88531485890985,-6.338732212302565,water
2,529.0,375.0,417.0,460.0,398.0,653.0,445.0,394.0,106.88583398088993,-6.339124161217644,water
3,469.0,399.0,436.0,450.0,391.0,691.0,491.0,404.0,106.88521793454333,-6.338888984984419,water
4,415.0,389.0,455.0,416.0,396.0,626.0,493.0,341.0,106.88600447673325,-6.33941827320333,water
5,396.0,403.0,490.0,428.0,424.0,647.0,533.0,301.0,106.8855615422138,-6.339312519386984,water
6,492.0,472.0,489.0,491.0,452.0,654.0,580.0,465.0,106.88568375393665,-6.338296411614985,water
7,456.0,413.0,448.0,479.0,378.0,664.0,476.0,356.0,106.8858427495604,-6.339270740191733,water
8,412.0,383.0,441.0,411.0,371.0,631.0,444.0,343.0,106.88569541018597,-6.3388412358357265,water
9,436.0,415.0,430.0,444.0,435.0,646.0,547.0,429.0,106.88519327286085,-6.338437832115722,water
10,526.0,441.0,485.0,515.0,416.0,664.0,527.0,515.0,106.88573067294506,-6.338012309334176,water
11,406.0,386.0,434.0,445.0,383.0,676.0,442.0,393.0,106.88589681841545,-6.339105571518252,water
12,476.0,425.0,476.0,443.0,384.0,608.0,451.0,333.0,106.8857851574658,-6.338943717493841,water
13,536.0,375.0,419.0,455.0,388.0,643.0,483.0,428.0,106.88560086278481,-6.339089628446964,water
14,454.0,369.0,425.0,424.0,386.0,650.0,488.0,409.0,106.88518655066913,-6.339062425334263,water
15,397.0,386.0,474.0,459.0,387.0,636.0,511.0,457.0,106.88524070657094,-6.338712900718316,water
16,528.0,432.0,490.0,456.0,379.0,633.0,531.0,430.0,106.8855474134522,-6.33825855977708,water
17,369.0,384.0,438.0,448.0,382.0,634.0,498.0,355.0,106.88533343217112,-6.338918709050918,water
18,378.0,379.0,427.0,422.0,360.0,592.0,450.0,318.0,106.88613962660301,-6.338878608911787,water
19,381.0,392.0,490.0,428.0,433.0,644.0,603.0,393.0,106.88518259398623,-6.33924592193325,water
20,517.0,412.0,443.0,449.0,356.0,640.0,439.0,388.0,106.88554278495948,-6.3385141758967585,water
21,425.0,391.0,434.0,446.0,379.0,632.0,507.0,432.0,106.88531258764762,-6.338517795393891,water
22,396.0,444.0,478.0,405.0,404.0,637.0,526.0,308.0,106.88600911933572,-6.339464397513114,water
23,432.0,492.0,545.0,418.0,464.0,640.0,603.0,351.0,106.88541733646711,-6.3394918328114604,water
24,365.0,420.0,492.0,391.0,452.0,602.0,623.0,344.0,106.8853601795911,-6.339259453742516,water
25,535.0,484.0,500.0,515.0,452.0,747.0,611.0,511.0,106.88578300662209,-6.337500087902445,water
26,448.0,427.0,472.0,424.0,391.0,600.0,492.0,313.0,106.88589530794465,-6.338712468481226,water
27,497.0,419.0,503.0,457.0,446.0,644.0,569.0,400.0,106.8852000578219,-6.338264417360168,water
28,435.0,413.0,446.0,447.0,373.0,645.0,527.0,400.0,106.88527272427842,-6.3361488257161644,water
29,460.0,509.0,518.0,518.0,506.0,701.0,644.0,426.0,106.88568858796752,-6.339866592794936,water
30,404.0,373.0,458.0,391.0,444.0,665.0,588.0,344.0,106.88510389857575,-6.339194228113812,water
