,0,1,2,3,4,5,6,7,x,y,label
0,387.0,283.0,225.0,237.0,229.0,275.0,302.0,336.0,115.20671852961416,-8.718964590951687,water
1,340.0,297.0,539.0,444.0,329.0,381.0,297.0,336.0,115.20727187968258,-8.718301673992979,water
2,346.0,267.0,222.0,247.0,232.0,266.0,333.0,348.0,115.20700165096325,-8.71892332090705,water
3,276.0,195.0,159.0,171.0,162.0,190.0,220.0,249.0,115.2067421388021,-8.718964965795722,water
4,326.0,236.0,207.0,234.0,217.0,223.0,249.0,268.0,115.20632819131004,-8.719426283897176,water
5,412.0,349.0,364.0,437.0,426.0,430.0,407.0,419.0,115.20539476321362,-8.720435869308027,water
6,295.0,238.0,182.0,199.0,188.0,232.0,288.0,294.0,115.2070973583457,-8.718944493627461,water
7,541.0,520.0,466.0,513.0,487.0,428.0,376.0,364.0,115.20579402468599,-8.718730780229007,water
8,367.0,290.0,209.0,242.0,223.0,268.0,311.0,348.0,115.20671341931288,-8.718917752276989,water
9,327.0,233.0,272.0,338.0,232.0,368.0,303.0,321.0,115.20594980732845,-8.717851017437836,water
10,259.0,208.0,330.0,286.0,217.0,261.0,208.0,231.0,115.20729841051201,-8.718199600184338,water
11,333.0,263.0,285.0,326.0,275.0,372.0,315.0,349.0,115.20610894699118,-8.720329471392285,water
12,378.0,300.0,292.0,358.0,306.0,414.0,343.0,370.0,115.2061521492721,-8.720267846875712,water
13,277.0,209.0,239.0,288.0,202.0,338.0,262.0,292.0,115.20596895298142,-8.717900840666763,water
14,511.0,440.0,396.0,416.0,371.0,367.0,350.0,330.0,115.2056261973826,-8.718549736377307,water
15,401.0,351.0,349.0,420.0,400.0,390.0,360.0,366.0,115.20542993727338,-8.720283950670783,water
16,326.0,288.0,444.0,384.0,290.0,317.0,271.0,316.0,115.20732893368388,-8.718339470221505,water
17,355.0,277.0,237.0,268.0,248.0,257.0,297.0,319.0,115.2063544561819,-8.719401219771118,water
18,546.0,455.0,407.0,445.0,409.0,410.0,373.0,373.0,115.205517206849,-8.718593442490421,water
19,345.0,331.0,594.0,507.0,368.0,321.0,270.0,294.0,115.20737007222431,-8.717922564609168,water
20,396.0,314.0,262.0,271.0,252.0,288.0,340.0,377.0,115.20676585778585,-8.719039449838444,water
21,512.0,446.0,410.0,435.0,409.0,354.0,335.0,327.0,115.2062404631819,-8.719154929694596,water
22,315.0,233.0,263.0,298.0,249.0,363.0,312.0,327.0,115.20622569416655,-8.720335359607652,water
23,318.0,284.0,448.0,396.0,293.0,335.0,269.0,310.0,115.20748924414347,-8.717782163556828,water
24,599.0,521.0,496.0,550.0,508.0,470.0,385.0,375.0,115.20565412017741,-8.718656657087628,water
25,597.0,556.0,514.0,549.0,549.0,464.0,383.0,367.0,115.20602094601924,-8.71864112001962,water
26,253.0,187.0,206.0,243.0,169.0,269.0,230.0,235.0,115.20597866081548,-8.717986509582653,water
27,343.0,247.0,289.0,318.0,250.0,409.0,324.0,360.0,115.20655884990474,-8.720203705485059,water
28,379.0,311.0,332.0,407.0,384.0,398.0,349.0,355.0,115.20541500066851,-8.720357349454893,water
29,250.0,228.0,419.0,344.0,243.0,281.0,223.0,236.0,115.20715563289664,-8.71810723725802,water
30,512.0,441.0,410.0,458.0,423.0,395.0,339.0,334.0,115.20593148801818,-8.718611648432377,water
31,348.0,306.0,325.0,387.0,374.0,391.0,364.0,366.0,115.20550700497822,-8.720489954630539,water
32,327.0,238.0,193.0,223.0,200.0,243.0,278.0,313.0,115.20690976142616,-8.719030086802032,water
33,330.0,348.0,579.0,527.0,373.0,336.0,262.0,287.0,115.20734637746283,-8.717914676637411,water
34,326.0,325.0,587.0,536.0,400.0,342.0,258.0,277.0,115.20739375146884,-8.717792646872345,water
35,415.0,318.0,288.0,313.0,299.0,288.0,288.0,295.0,115.2064759378877,-8.719310625326443,water
36,561.0,516.0,486.0,544.0,529.0,455.0,369.0,345.0,115.2056360094355,-8.718725176519673,water
