,0,1,2,3,4,5,6,7,x,y,label
0,1628.0,1231.0,1005.0,824.0,738.0,841.0,1096.0,900.0,115.18028375236129,-8.730077748761719,water
1,1312.0,993.0,853.0,691.0,602.0,1149.0,2034.0,1356.0,115.18025198337033,-8.73021768397618,water
2,1612.0,1217.0,968.0,803.0,738.0,625.0,679.0,494.0,115.18036745935267,-8.73022018101818,water
3,1734.0,1310.0,1046.0,891.0,816.0,700.0,758.0,565.0,115.17994205633741,-8.729181410194524,water
4,1647.0,1226.0,973.0,813.0,734.0,618.0,664.0,491.0,115.18050475673428,-8.730311562011229,water
5,1546.0,1160.0,953.0,789.0,707.0,867.0,1200.0,906.0,115.1802828834985,-8.730255057748426,water
6,1605.0,1218.0,965.0,811.0,733.0,633.0,686.0,501.0,115.18007127661252,-8.7299380535786,water
7,1658.0,1253.0,998.0,844.0,762.0,681.0,734.0,546.0,115.18009213576792,-8.729993442564453,water
8,1723.0,1305.0,1055.0,884.0,799.0,868.0,1113.0,739.0,115.18016730950595,-8.73011103573447,water
9,1565.0,1182.0,968.0,799.0,709.0,753.0,923.0,774.0,115.18012250551189,-8.72988725067193,water
10,1736.0,1304.0,1036.0,870.0,789.0,685.0,736.0,551.0,115.180301719566,-8.730152241784893,water
11,1680.0,1262.0,996.0,836.0,752.0,626.0,642.0,467.0,115.18061592019656,-8.73044510326416,water
12,1578.0,1196.0,950.0,786.0,721.0,584.0,608.0,439.0,115.1806160858767,-8.730520541642012,water
13,1466.0,1127.0,948.0,816.0,743.0,931.0,1311.0,1023.0,115.17990594832472,-8.729258151671505,water
14,1626.0,1237.0,981.0,814.0,749.0,633.0,692.0,508.0,115.18026966804292,-8.730134219289061,water
15,1676.0,1264.0,1020.0,861.0,782.0,701.0,763.0,604.0,115.17996006626326,-8.729187796615623,water
16,1602.0,1214.0,952.0,805.0,720.0,605.0,613.0,452.0,115.18056169336793,-8.730408860344047,water
17,1501.0,1129.0,942.0,765.0,673.0,871.0,1173.0,1021.0,115.18040800265652,-8.730226524550547,water
18,1612.0,1239.0,976.0,807.0,746.0,606.0,642.0,461.0,115.18048794702828,-8.730420981492749,water
19,1627.0,1218.0,965.0,814.0,733.0,619.0,636.0,477.0,115.18056126861863,-8.73038574632602,water
20,1716.0,1303.0,1043.0,885.0,814.0,703.0,771.0,538.0,115.18032222986335,-8.730304718464627,water
21,1659.0,1246.0,1003.0,836.0,762.0,658.0,747.0,535.0,115.18028400943736,-8.730192985228355,water
22,1714.0,1302.0,1048.0,891.0,802.0,674.0,726.0,505.0,115.18035998812786,-8.73033554655112,water
23,1560.0,1199.0,998.0,854.0,773.0,895.0,1185.0,928.0,115.17990422106939,-8.729271776239445,water
24,1632.0,1235.0,981.0,818.0,735.0,603.0,618.0,459.0,115.1806440974028,-8.730491212465394,water
25,1494.0,1128.0,956.0,764.0,676.0,918.0,1402.0,1082.0,115.18038326755848,-8.730193429849198,water
26,1671.0,1251.0,992.0,835.0,753.0,635.0,653.0,501.0,115.18051293899481,-8.730344020403313,water
27,1609.0,1213.0,956.0,801.0,724.0,602.0,616.0,458.0,115.18058864387302,-8.730426743794936,water
28,1281.0,982.0,840.0,686.0,609.0,1069.0,1803.0,1121.0,115.17997530333008,-8.729894621186336,water
29,1643.0,1250.0,1003.0,829.0,756.0,649.0,715.0,519.0,115.18024791643762,-8.730141729884183,water
30,1513.0,1174.0,983.0,852.0,802.0,905.0,1238.0,819.0,115.18028683534317,-8.730283343058142,water
31,1629.0,1226.0,1021.0,856.0,761.0,946.0,1337.0,899.0,115.17989432554923,-8.729151076647646,water
32,1586.0,1189.0,958.0,798.0,713.0,803.0,1093.0,720.0,115.17993628288637,-8.72907847274043,water
33,1569.0,1192.0,987.0,816.0,732.0,761.0,897.0,881.0,115.18004620806356,-8.729825051343902,water
34,1609.0,1208.0,961.0,811.0,735.0,636.0,694.0,504.0,115.18009003125887,-8.72996843746405,water
35,1492.0,1131.0,966.0,805.0,718.0,974.0,1457.0,1110.0,115.17983720947186,-8.729546969971345,water
36,1319.0,1002.0,873.0,703.0,598.0,1114.0,1731.0,1526.0,115.17988570422688,-8.729403006463311,water
37,1680.0,1274.0,1053.0,927.0,865.0,754.0,847.0,568.0,115.18035762928749,-8.7303488682991,water
38,1687.0,1272.0,1027.0,856.0,778.0,771.0,935.0,681.0,115.18028970702443,-8.730247913186377,water
39,1482.0,1127.0,957.0,810.0,712.0,1011.0,1595.0,1115.0,115.17983891510353,-8.7290547495005,water
40,1623.0,1215.0,969.0,817.0,739.0,627.0,654.0,483.0,115.18037235785985,-8.730278725176776,water
41,1671.0,1253.0,997.0,843.0,762.0,647.0,689.0,498.0,115.1803486700714,-8.730286381137137,water
42,1769.0,1341.0,1071.0,914.0,815.0,759.0,828.0,620.0,115.17987912636298,-8.72908563136234,water
43,1740.0,1336.0,1083.0,931.0,832.0,839.0,1026.0,759.0,115.17984978846252,-8.729569261782,water
44,1636.0,1234.0,977.0,820.0,747.0,632.0,678.0,496.0,115.18035221828339,-8.730258225599647,water
45,1787.0,1354.0,1085.0,926.0,843.0,718.0,775.0,566.0,115.17993911234791,-8.729187730417273,water
46,1654.0,1255.0,999.0,833.0,763.0,666.0,724.0,526.0,115.18028765676011,-8.73015677180769,water
47,1661.0,1255.0,1010.0,828.0,752.0,708.0,800.0,633.0,115.1802228536938,-8.730045589726032,water
48,1606.0,1218.0,966.0,807.0,735.0,610.0,620.0,454.0,115.18053330459789,-8.730411298787022,water
49,1731.0,1323.0,1059.0,891.0,806.0,671.0,702.0,517.0,115.18040283669939,-8.730364722996336,water
50,1653.0,1253.0,990.0,828.0,745.0,616.0,627.0,458.0,115.18061652519353,-8.730454796420668,water
51,1560.0,1202.0,1027.0,906.0,858.0,849.0,1087.0,767.0,115.18031014971766,-8.73031202266945,water
52,1658.0,1262.0,1042.0,892.0,790.0,980.0,1324.0,991.0,115.1798858490956,-8.729336892029513,water
53,1615.0,1226.0,1004.0,855.0,762.0,864.0,1138.0,831.0,115.17983588693029,-8.729008389898754,water
54,1584.0,1189.0,945.0,789.0,711.0,607.0,650.0,484.0,115.18057016746214,-8.730344866541875,water
55,1695.0,1300.0,1036.0,873.0,793.0,728.0,810.0,538.0,115.17998099273984,-8.729873699150529,water
