0,1,2,3,4,5,6,7,x,y,label
1830.0,1589.0,1437.0,1258.0,1122.0,1884.0,3022.0,2536.0,102,147,non_water
1852.0,1619.0,1434.0,1300.0,1222.0,1654.0,2371.0,2046.0,70,128,non_water
1849.0,1657.0,1472.0,1391.0,1411.0,1735.0,2344.0,2065.0,76,116,non_water
1804.0,1535.0,1367.0,1140.0,1102.0,1474.0,1983.0,1602.0,80,83,non_water
1810.0,1556.0,1341.0,1201.0,1064.0,1612.0,2331.0,1982.0,63,49,non_water
1863.0,1615.0,1434.0,1313.0,1287.0,1578.0,2224.0,1915.0,122,25,non_water
1901.0,1718.0,1609.0,1605.0,1600.0,1859.0,2518.0,2179.0,156,19,non_water
2023.0,1912.0,1873.0,1853.0,1932.0,1889.0,2126.0,1687.0,146,27,non_water
1824.0,1601.0,1397.0,1224.0,1108.0,1631.0,2494.0,2118.0,123,110,non_water
1831.0,1591.0,1404.0,1420.0,1443.0,1605.0,1853.0,1508.0,71,182,non_water
1796.0,1604.0,1449.0,1351.0,1394.0,1403.0,1665.0,1336.0,323,107,non_water
2045.0,1866.0,1713.0,1691.0,1636.0,1862.0,2238.0,1839.0,298,109,non_water
1772.0,1519.0,1317.0,1175.0,1081.0,1263.0,1618.0,1299.0,258,110,non_water
2174.0,2080.0,2224.0,2136.0,2352.0,2200.0,3149.0,2305.0,232,89,non_water
1814.0,1572.0,1400.0,1249.0,1212.0,1719.0,2241.0,2118.0,250,44,non_water
1775.0,1504.0,1313.0,1165.0,1061.0,1604.0,2424.0,1829.0,328,36,non_water
1744.0,1477.0,1244.0,1106.0,1013.0,1465.0,2399.0,2076.0,361,44,non_water
1733.0,1445.0,1210.0,1053.0,959.0,1056.0,1048.0,940.0,372,76,non_water
1737.0,1494.0,1294.0,1120.0,969.0,1631.0,2567.0,2162.0,361,152,non_water
1742.0,1479.0,1270.0,1113.0,1006.0,1532.0,2479.0,2173.0,326,188,non_water
1996.0,1951.0,1903.0,1825.0,1797.0,1934.0,2123.0,1532.0,540,141,water
1924.0,1786.0,1687.0,1649.0,1500.0,1696.0,1739.0,1330.0,538,117,water
1781.0,1498.0,1383.0,1221.0,1089.0,1218.0,1160.0,828.0,572,108,water
1759.0,1536.0,1417.0,1208.0,1090.0,1219.0,1152.0,863.0,583,150,water
1727.0,1492.0,1333.0,1163.0,1017.0,1149.0,1103.0,790.0,592,182,water
1776.0,1550.0,1410.0,1219.0,1091.0,1230.0,1167.0,869.0,572,195,water
2016.0,1950.0,1952.0,1905.0,1928.0,2046.0,2088.0,1676.0,517,194,water
1950.0,1726.0,1691.0,1679.0,1500.0,1723.0,1601.0,1344.0,545,163,water
