0,1,2,3,4,5,6,7,x,y,label
1754.0,1680.0,1692.0,1760.0,1821.0,1678.0,1682.0,969.0,701563.9350278849,9297750.604452949,water
1670.0,1492.0,1296.0,1108.0,1042.0,1093.0,1126.0,699.0,701468.3507626368,9297571.072017515,water
1683.0,1490.0,1299.0,1106.0,1045.0,1077.0,1100.0,679.0,701502.1443845956,9297525.966035154,water
1726.0,1659.0,1673.0,1734.0,1816.0,1638.0,1649.0,932.0,701533.2244219955,9297764.827434627,water
1764.0,1686.0,1701.0,1763.0,1842.0,1687.0,1702.0,963.0,701499.5340549876,9297772.378810493,water
1749.0,1674.0,1697.0,1763.0,1840.0,1672.0,1669.0,939.0,701537.5844054761,9297943.343184087,water
1720.0,1658.0,1661.0,1723.0,1794.0,1636.0,1646.0,928.0,701572.456866612,9297781.434987433,water
1751.0,1675.0,1679.0,1747.0,1816.0,1666.0,1679.0,956.0,701560.8612056668,9297750.468580158,water
1762.0,1688.0,1694.0,1765.0,1833.0,1666.0,1672.0,947.0,701560.6693291308,9297770.312898198,water
1718.0,1660.0,1660.0,1727.0,1793.0,1633.0,1646.0,919.0,701650.9483197929,9297932.878726829,water
1748.0,1691.0,1692.0,1752.0,1822.0,1660.0,1672.0,946.0,701548.0212471317,9297775.181296792,water
1681.0,1503.0,1297.0,1112.0,1053.0,1086.0,1112.0,692.0,701501.3445490603,9297531.246492105,water
1742.0,1673.0,1692.0,1761.0,1824.0,1662.0,1664.0,941.0,701497.9317128151,9297925.04488282,water
1648.0,1460.0,1266.0,1074.0,1017.0,1043.0,1060.0,664.0,701469.3158326825,9297387.538816348,water
1680.0,1504.0,1303.0,1109.0,1045.0,1090.0,1104.0,696.0,701493.5984344083,9297526.18920297,water
1746.0,1673.0,1690.0,1748.0,1820.0,1662.0,1669.0,948.0,701559.0224142391,9297713.451950185,water
1677.0,1498.0,1305.0,1104.0,1051.0,1095.0,1121.0,687.0,701495.8951943933,9297512.988311432,water
1793.0,1728.0,1729.0,1799.0,1871.0,1701.0,1719.0,978.0,701521.0897947733,9297746.027035318,water
1703.0,1620.0,1626.0,1678.0,1742.0,1587.0,1619.0,913.0,701656.9144671207,9297949.467506872,water
1756.0,1677.0,1690.0,1751.0,1816.0,1661.0,1674.0,957.0,701505.6201061729,9297740.854320211,water
1784.0,1720.0,1723.0,1793.0,1871.0,1694.0,1716.0,969.0,701521.672888533,9297763.960808355,water
1719.0,1538.0,1355.0,1193.0,1141.0,1190.0,1212.0,814.0,701321.5862123584,9297474.309142733,water
1774.0,1716.0,1724.0,1787.0,1860.0,1681.0,1693.0,961.0,701548.1833417807,9297784.01944508,water
1764.0,1692.0,1699.0,1757.0,1826.0,1675.0,1694.0,951.0,701502.6151457954,9297934.946643226,water
1777.0,1708.0,1720.0,1784.0,1854.0,1693.0,1699.0,962.0,701570.8352233369,9297763.65150821,water
1762.0,1692.0,1697.0,1753.0,1806.0,1672.0,1681.0,954.0,701580.4008490788,9297764.67040467,water
1718.0,1650.0,1656.0,1700.0,1759.0,1624.0,1644.0,942.0,701595.295862963,9297769.931541951,water
1755.0,1683.0,1690.0,1753.0,1829.0,1659.0,1673.0,941.0,701515.7258133925,9297792.379481183,water
1663.0,1490.0,1290.0,1100.0,1040.0,1076.0,1101.0,683.0,701496.7377556616,9297533.255298072,water
1735.0,1669.0,1679.0,1749.0,1823.0,1650.0,1674.0,938.0,701634.1028135854,9297914.41813691,water
1653.0,1481.0,1275.0,1079.0,1026.0,1042.0,1055.0,666.0,701445.6133879708,9297406.80532152,water
1728.0,1654.0,1677.0,1715.0,1796.0,1639.0,1647.0,945.0,701548.6531006269,9297718.110704115,water
1659.0,1480.0,1289.0,1097.0,1034.0,1058.0,1079.0,676.0,701430.5135844249,9297419.301207433,water
1751.0,1676.0,1690.0,1754.0,1819.0,1664.0,1699.0,971.0,701564.573634189,9297756.156082917,water
1750.0,1684.0,1691.0,1748.0,1831.0,1662.0,1674.0,954.0,701548.8854196556,9297722.678289816,water
1747.0,1687.0,1693.0,1759.0,1847.0,1666.0,1680.0,944.0,701633.8524235362,9297906.451949669,water
1766.0,1695.0,1715.0,1792.0,1871.0,1680.0,1698.0,959.0,701624.2459024934,9297908.592437232,water
1781.0,1696.0,1718.0,1784.0,1858.0,1685.0,1691.0,964.0,701547.9849864866,9297762.115276434,water
1767.0,1680.0,1699.0,1759.0,1831.0,1665.0,1678.0,955.0,701511.7108640749,9297745.193038614,water
1746.0,1679.0,1693.0,1754.0,1831.0,1656.0,1666.0,934.0,701626.948076866,9297939.195508644,water
1619.0,1439.0,1247.0,1056.0,997.0,1017.0,1034.0,651.0,701452.9641580642,9297418.349829184,water
1766.0,1690.0,1689.0,1751.0,1816.0,1689.0,1717.0,993.0,701637.6506881783,9297932.111396795,water
1724.0,1674.0,1673.0,1740.0,1813.0,1643.0,1647.0,941.0,701538.7306080809,9297740.7747367,water
1735.0,1672.0,1683.0,1736.0,1812.0,1647.0,1651.0,948.0,701557.5916211487,9297737.886765758,water
1757.0,1686.0,1692.0,1742.0,1802.0,1660.0,1675.0,949.0,701586.6424793509,9297770.443930065,water
1743.0,1691.0,1687.0,1744.0,1799.0,1659.0,1677.0,945.0,701583.0522927151,9297774.843183385,water
1691.0,1498.0,1300.0,1105.0,1050.0,1094.0,1111.0,694.0,701504.2899492768,9297535.816536764,water
1735.0,1651.0,1660.0,1725.0,1789.0,1634.0,1651.0,939.0,701510.4478319705,9297743.25432677,water
1767.0,1696.0,1702.0,1770.0,1840.0,1676.0,1687.0,958.0,701545.6854657404,9297765.784019003,water
1746.0,1678.0,1691.0,1748.0,1830.0,1659.0,1669.0,954.0,701527.4375485189,9297743.429254062,water
1776.0,1714.0,1727.0,1776.0,1852.0,1693.0,1715.0,967.0,701501.2754142276,9297796.167905051,water
1668.0,1493.0,1296.0,1108.0,1042.0,1096.0,1106.0,693.0,701516.1526152942,9297527.505493447,water
1745.0,1673.0,1686.0,1746.0,1821.0,1657.0,1664.0,937.0,701503.146151197,9297946.136014182,water
1712.0,1637.0,1649.0,1717.0,1798.0,1619.0,1639.0,924.0,701626.556280159,9297905.089832392,water
1759.0,1692.0,1694.0,1753.0,1827.0,1669.0,1679.0,953.0,701566.7790776378,9297716.82301197,water
1730.0,1663.0,1673.0,1730.0,1809.0,1642.0,1659.0,944.0,701545.1783470431,9297752.200215517,water
1699.0,1505.0,1311.0,1107.0,1045.0,1067.0,1087.0,685.0,701451.7322794006,9297416.880210295,water
1772.0,1696.0,1697.0,1750.0,1811.0,1667.0,1685.0,963.0,701580.0883739232,9297736.387174772,water
1772.0,1700.0,1714.0,1769.0,1844.0,1688.0,1704.0,966.0,701498.765260779,9297744.621041479,water
1690.0,1503.0,1299.0,1110.0,1059.0,1092.0,1102.0,683.0,701504.8634632926,9297513.343431419,water
1740.0,1662.0,1685.0,1741.0,1810.0,1687.0,1725.0,977.0,701532.8962078827,9297913.556868102,water
1765.0,1698.0,1694.0,1759.0,1821.0,1667.0,1676.0,951.0,701579.1159648518,9297778.58171491,water
1707.0,1517.0,1312.0,1122.0,1064.0,1101.0,1123.0,694.0,701503.1621584973,9297519.824227976,water
1712.0,1642.0,1653.0,1691.0,1753.0,1621.0,1643.0,933.0,701590.1740536371,9297753.766555857,water
1806.0,1724.0,1738.0,1809.0,1898.0,1707.0,1730.0,971.0,701627.1003635781,9297906.439994117,water
1752.0,1681.0,1679.0,1744.0,1793.0,1653.0,1681.0,955.0,701579.9742865348,9297755.95769845,water
1669.0,1482.0,1296.0,1099.0,1041.0,1083.0,1095.0,679.0,701515.2443979505,9297522.1887992,water
1750.0,1687.0,1693.0,1747.0,1833.0,1668.0,1690.0,962.0,701496.3723132014,9297747.86638575,water
1741.0,1665.0,1683.0,1747.0,1812.0,1658.0,1686.0,955.0,701503.8296342038,9297792.01761275,water
1770.0,1703.0,1708.0,1770.0,1838.0,1675.0,1698.0,964.0,701518.1459218542,9297728.592421988,water
1737.0,1670.0,1680.0,1742.0,1815.0,1650.0,1656.0,932.0,701507.7265560512,9297953.196525387,water
