0,1,2,3,4,5,6,7,x,y,label
509.0,399.0,513.0,439.0,408.0,647.0,509.0,385.0,106.88542289336824,-6.3382305567469786,water
535.0,450.0,487.0,513.0,441.0,744.0,543.0,471.0,106.88549345159342,-6.337594423411422,water
460.0,401.0,475.0,492.0,430.0,672.0,531.0,408.0,106.88555221443376,-6.338099449225013,water
506.0,434.0,505.0,495.0,419.0,710.0,544.0,470.0,106.88552895875911,-6.337539820335932,water
406.0,394.0,474.0,374.0,430.0,637.0,541.0,340.0,106.88516549551201,-6.339236712865707,water
472.0,394.0,425.0,471.0,368.0,712.0,486.0,448.0,106.88578669491733,-6.339084449404388,water
542.0,432.0,518.0,522.0,441.0,713.0,586.0,516.0,106.88547144368471,-6.337548211418418,water
562.0,448.0,468.0,454.0,395.0,632.0,500.0,404.0,106.88559178116572,-6.33839124542849,water
486.0,423.0,500.0,463.0,420.0,629.0,520.0,428.0,106.88551886334245,-6.3380594324084365,water
399.0,378.0,481.0,446.0,404.0,626.0,587.0,412.0,106.88525173224643,-6.336262554186924,water
457.0,391.0,456.0,442.0,364.0,623.0,464.0,322.0,106.88567174107084,-6.338885293541095,water
462.0,407.0,496.0,477.0,437.0,654.0,550.0,435.0,106.88536273198996,-6.3379457480829196,water
452.0,415.0,458.0,449.0,390.0,600.0,485.0,349.0,106.88602051060525,-6.338723975823629,water
533.0,457.0,494.0,512.0,451.0,728.0,557.0,502.0,106.8857493325258,-6.337793469015305,water
390.0,416.0,456.0,415.0,381.0,593.0,474.0,342.0,106.88579016769343,-6.338697407662131,water
379.0,464.0,509.0,409.0,452.0,644.0,610.0,371.0,106.88538423042026,-6.339443701720313,water
432.0,445.0,504.0,435.0,457.0,645.0,557.0,309.0,106.88580995521912,-6.3395611916196275,water
462.0,419.0,461.0,443.0,399.0,643.0,498.0,364.0,106.88616566539058,-6.338738536204458,water
531.0,383.0,443.0,418.0,379.0,632.0,449.0,317.0,106.88596489559217,-6.339229973150709,water
472.0,435.0,506.0,469.0,400.0,697.0,541.0,464.0,106.88528133438037,-6.337987469632878,water
403.0,417.0,447.0,435.0,410.0,616.0,470.0,326.0,106.88564202122821,-6.338654767572856,water
491.0,435.0,498.0,471.0,405.0,662.0,555.0,346.0,106.88531862800681,-6.338105422083816,water
483.0,473.0,490.0,467.0,423.0,705.0,538.0,444.0,106.88550243888902,-6.3377838327530736,water
467.0,386.0,423.0,414.0,390.0,624.0,480.0,374.0,106.8854756667914,-6.338693050298352,water
439.0,376.0,408.0,428.0,376.0,664.0,494.0,355.0,106.88552466073547,-6.339122147505844,water
541.0,362.0,448.0,505.0,390.0,710.0,432.0,492.0,106.88575868622125,-6.339081081197405,water
532.0,455.0,512.0,506.0,391.0,719.0,570.0,504.0,106.88551677759027,-6.337489614510943,water
418.0,416.0,441.0,438.0,362.0,662.0,510.0,400.0,106.88527603924625,-6.338860690405697,water
391.0,464.0,493.0,417.0,396.0,589.0,549.0,323.0,106.8856692046592,-6.339309889062062,water
577.0,469.0,515.0,524.0,448.0,730.0,601.0,472.0,106.88579068741079,-6.337620062107567,water
515.0,400.0,498.0,491.0,424.0,645.0,556.0,429.0,106.8852939745247,-6.338112518107575,water
391.0,384.0,458.0,425.0,397.0,585.0,486.0,324.0,106.88599093340116,-6.3387001819550175,water
435.0,328.0,429.0,420.0,368.0,609.0,507.0,380.0,106.88527921189839,-6.339067714475846,water
442.0,357.0,445.0,437.0,380.0,651.0,479.0,370.0,106.88533994451902,-6.338651969795881,water
445.0,417.0,504.0,425.0,413.0,618.0,555.0,312.0,106.88581306995987,-6.339475269516261,water
530.0,400.0,462.0,421.0,392.0,615.0,474.0,371.0,106.88549550862696,-6.338492305412781,water
456.0,425.0,470.0,472.0,406.0,671.0,515.0,413.0,106.88565795930185,-6.33803577302358,water
389.0,378.0,450.0,436.0,389.0,633.0,488.0,333.0,106.88605889317172,-6.338806811339156,water
479.0,415.0,513.0,475.0,411.0,670.0,541.0,428.0,106.88526147445748,-6.338047007665137,water
392.0,406.0,475.0,464.0,420.0,680.0,549.0,394.0,106.88532410860779,-6.336101947478455,water
512.0,453.0,502.0,471.0,459.0,747.0,581.0,426.0,106.88586556012665,-6.339747151591764,water
469.0,374.0,437.0,427.0,367.0,596.0,451.0,351.0,106.88601850427406,-6.338678278623072,water
462.0,385.0,452.0,439.0,385.0,604.0,414.0,376.0,106.88566077037439,-6.338580883573465,water
462.0,384.0,455.0,429.0,410.0,649.0,524.0,425.0,106.88520303260144,-6.338546757537164,water
392.0,375.0,461.0,430.0,395.0,660.0,503.0,362.0,106.8850955402783,-6.339083582359745,water
496.0,416.0,473.0,454.0,391.0,666.0,459.0,375.0,106.88585260507853,-6.338338973476715,water
467.0,450.0,509.0,486.0,416.0,673.0,541.0,424.0,106.88539500736864,-6.337888300254875,water
437.0,408.0,453.0,453.0,372.0,624.0,468.0,394.0,106.88610984470425,-6.338711575304333,water
408.0,396.0,462.0,460.0,405.0,643.0,567.0,412.0,106.88513119535573,-6.339021461030893,water
542.0,432.0,518.0,522.0,441.0,713.0,586.0,516.0,106.88547299396015,-6.337544226179126,water
447.0,369.0,446.0,411.0,355.0,621.0,481.0,346.0,106.88558069245589,-6.338896665009109,water
449.0,392.0,468.0,477.0,415.0,645.0,567.0,393.0,106.88530383447848,-6.335966590748847,water
493.0,352.0,452.0,451.0,380.0,605.0,453.0,370.0,106.88621157260967,-6.3387530751273085,water
485.0,412.0,506.0,491.0,426.0,692.0,553.0,461.0,106.88554431321148,-6.3377886103677366,water
416.0,415.0,445.0,444.0,343.0,656.0,452.0,381.0,106.88548900541699,-6.339104431129966,water
480.0,363.0,430.0,440.0,375.0,630.0,463.0,355.0,106.88546848588511,-6.338879816880124,water
440.0,434.0,492.0,448.0,431.0,658.0,534.0,330.0,106.88560342253943,-6.339427838358044,water
303.0,429.0,464.0,451.0,409.0,672.0,551.0,414.0,106.88498737928077,-6.339105367292917,water
458.0,428.0,461.0,426.0,406.0,619.0,471.0,398.0,106.88562502659427,-6.338634487920858,water
502.0,440.0,484.0,498.0,422.0,653.0,545.0,433.0,106.88542641946867,-6.337966980509605,water
423.0,485.0,557.0,417.0,466.0,645.0,637.0,335.0,106.88553649917758,-6.339523041088965,water
379.0,411.0,456.0,388.0,419.0,678.0,559.0,366.0,106.88510099703481,-6.339167376209271,water
439.0,355.0,441.0,428.0,366.0,651.0,478.0,366.0,106.88563274236431,-6.338955820263247,water
476.0,349.0,450.0,435.0,379.0,639.0,470.0,332.0,106.88609017365518,-6.339350549653819,water
553.0,425.0,466.0,463.0,437.0,578.0,511.0,371.0,106.88552552746076,-6.338436080851533,water
431.0,387.0,459.0,430.0,387.0,599.0,435.0,361.0,106.88586562368138,-6.338625401259144,water
536.0,446.0,496.0,463.0,438.0,671.0,495.0,401.0,106.8855028072108,-6.337884334261422,water
398.0,401.0,426.0,422.0,374.0,647.0,513.0,382.0,106.88528403452577,-6.3389138480054195,water
458.0,406.0,456.0,462.0,381.0,676.0,497.0,434.0,106.8852219346827,-6.338591770663526,water
532.0,421.0,501.0,455.0,415.0,677.0,551.0,475.0,106.8857227420955,-6.33803951039453,water
459.0,371.0,438.0,433.0,370.0,642.0,471.0,372.0,106.88550041696612,-6.338708729982076,water
444.0,386.0,468.0,466.0,402.0,695.0,593.0,462.0,106.88515131226352,-6.338889311936427,water
426.0,410.0,464.0,412.0,375.0,633.0,478.0,338.0,106.88574156662773,-6.338860475766112,water
439.0,379.0,419.0,440.0,374.0,592.0,481.0,360.0,106.88613137950841,-6.3388395741541865,water
402.0,374.0,452.0,462.0,375.0,675.0,467.0,382.0,106.88566984140454,-6.339110072702624,water
420.0,389.0,436.0,450.0,396.0,657.0,512.0,346.0,106.88530179262735,-6.339006569692683,water
441.0,331.0,432.0,420.0,384.0,630.0,454.0,391.0,106.8852264324693,-6.339123016297945,water
458.0,437.0,488.0,421.0,420.0,661.0,524.0,430.0,106.8851764977897,-6.338442811219208,water
440.0,408.0,489.0,494.0,455.0,810.0,571.0,460.0,106.88501909248265,-6.339019489433446,water
519.0,442.0,488.0,496.0,402.0,682.0,532.0,423.0,106.88558163879317,-6.3377896595176955,water
464.0,426.0,478.0,468.0,400.0,722.0,546.0,416.0,106.88504538118468,-6.338847714838413,water
581.0,440.0,495.0,491.0,438.0,729.0,576.0,486.0,106.88551070165632,-6.337502930662498,water
511.0,422.0,452.0,440.0,399.0,590.0,504.0,395.0,106.88553088856105,-6.338483901328676,water
554.0,371.0,435.0,478.0,370.0,678.0,495.0,577.0,106.88517637849738,-6.338717160108089,water
451.0,422.0,443.0,458.0,381.0,606.0,490.0,401.0,106.88540779031352,-6.3384039742900855,water
474.0,392.0,436.0,454.0,382.0,631.0,476.0,346.0,106.88609120935048,-6.338703958395319,water
416.0,348.0,455.0,466.0,390.0,677.0,433.0,353.0,106.88588923660949,-6.339023004450449,water
534.0,419.0,455.0,462.0,396.0,649.0,471.0,401.0,106.88607957143016,-6.338500506682649,water
410.0,416.0,451.0,464.0,428.0,630.0,531.0,454.0,106.88524371999443,-6.3384428653176474,water
505.0,405.0,451.0,422.0,378.0,583.0,488.0,353.0,106.88587940773402,-6.338560182676925,water
474.0,457.0,507.0,538.0,449.0,646.0,555.0,541.0,106.88556819880517,-6.338348242132245,water
423.0,485.0,557.0,417.0,466.0,645.0,637.0,335.0,106.88554147676766,-6.3395298112179805,water
438.0,455.0,497.0,500.0,415.0,705.0,492.0,425.0,106.88581182564228,-6.33807963785856,water
503.0,383.0,433.0,423.0,360.0,630.0,470.0,418.0,106.88520290053296,-6.338668964321565,water
460.0,413.0,458.0,418.0,365.0,605.0,466.0,347.0,106.88597440479705,-6.338488179431305,water
414.0,352.0,449.0,446.0,368.0,651.0,511.0,336.0,106.8853987991844,-6.339119825737474,water
508.0,429.0,493.0,510.0,440.0,772.0,588.0,447.0,106.88569051702292,-6.339591471244961,water
530.0,464.0,490.0,483.0,406.0,692.0,452.0,430.0,106.8857924209711,-6.338199987861894,water
441.0,425.0,487.0,455.0,391.0,680.0,521.0,377.0,106.88582105358235,-6.339638357648864,water
441.0,346.0,479.0,441.0,428.0,634.0,542.0,460.0,106.88522333220128,-6.336172565013583,water
901.0,1245.0,1521.0,1859.0,2006.0,2240.0,2367.0,2420.0,106.88384825037217,-6.341057540142461,non_water
724.0,848.0,1050.0,1289.0,1346.0,1585.0,1886.0,1927.0,106.88478212201196,-6.3370781785322645,non_water
399.0,375.0,360.0,421.0,376.0,538.0,704.0,629.0,106.88411730230007,-6.337075288494683,non_water
574.0,671.0,837.0,1016.0,1247.0,1480.0,1847.0,1669.0,106.8867809522866,-6.337389872917754,non_water
1090.0,1004.0,1286.0,1647.0,1568.0,1833.0,1774.0,1748.0,106.88697687512662,-6.337738240138296,non_water
596.0,489.0,694.0,726.0,750.0,1529.0,2354.0,2575.0,106.88626163295045,-6.337230113618333,non_water
689.0,726.0,814.0,937.0,1007.0,1271.0,1439.0,1361.0,106.88451551353485,-6.341365125406412,non_water
582.0,579.0,806.0,878.0,801.0,2420.0,3968.0,3998.0,106.88425918615121,-6.34059201807712,non_water
901.0,954.0,1064.0,1189.0,1311.0,1454.0,1875.0,1887.0,106.88504704497886,-6.341192286743414,non_water
379.0,402.0,481.0,512.0,493.0,1065.0,1575.0,1740.0,106.8841226030514,-6.337292308515527,non_water
379.0,341.0,361.0,479.0,472.0,814.0,1038.0,875.0,106.8838008569981,-6.337500219485339,non_water
377.0,346.0,446.0,501.0,369.0,1568.0,3026.0,3026.0,106.8845524649176,-6.335673924364667,non_water
619.0,697.0,962.0,1382.0,1624.0,2438.0,3156.0,3398.0,106.88397908840454,-6.337769807897528,non_water
488.0,436.0,426.0,505.0,516.0,673.0,670.0,1043.0,106.88682397511086,-6.33698064382127,non_water
1460.0,1544.0,1753.0,1938.0,1903.0,2203.0,2708.0,2798.0,106.88575914497608,-6.341230784894624,non_water
685.0,758.0,924.0,1170.0,1290.0,1513.0,1669.0,1702.0,106.88407684483137,-6.336468470039087,non_water
473.0,443.0,574.0,659.0,681.0,1208.0,1475.0,1748.0,106.88646891000354,-6.337835166744345,non_water
1148.0,1228.0,1529.0,1807.0,1857.0,2096.0,2140.0,2408.0,106.88402750248872,-6.336217577301831,non_water
505.0,520.0,671.0,786.0,791.0,1810.0,2702.0,2925.0,106.88662708992257,-6.3373757221149205,non_water
521.0,531.0,576.0,540.0,641.0,1025.0,1339.0,1185.0,106.88667685079648,-6.341003775225753,non_water
472.0,409.0,524.0,935.0,1158.0,1540.0,1739.0,1945.0,106.88468515081786,-6.335563141791007,non_water
810.0,712.0,777.0,980.0,950.0,1335.0,1653.0,1884.0,106.88628711348954,-6.33675191168267,non_water
493.0,525.0,586.0,679.0,716.0,994.0,1149.0,957.0,106.88598820890388,-6.3405282208776494,non_water
523.0,653.0,690.0,1075.0,1381.0,1802.0,1930.0,2030.0,106.88692582681772,-6.3376347965355135,non_water
586.0,572.0,750.0,767.0,720.0,2170.0,3586.0,3889.0,106.88437478967391,-6.341033466049124,non_water
531.0,493.0,588.0,713.0,616.0,1153.0,1472.0,1707.0,106.88648180983243,-6.337212532203715,non_water
543.0,489.0,532.0,593.0,538.0,1030.0,1450.0,1502.0,106.88657950759608,-6.336254051575493,non_water
860.0,884.0,1034.0,1212.0,1179.0,1504.0,1939.0,2259.0,106.88654653884119,-6.341143695463074,non_water
666.0,690.0,772.0,807.0,943.0,1047.0,1364.0,1469.0,106.88584383605213,-6.340395726029433,non_water
425.0,393.0,583.0,562.0,463.0,2366.0,4596.0,4673.0,106.88417635580653,-6.337874567769353,non_water
466.0,468.0,623.0,761.0,681.0,1787.0,2840.0,3114.0,106.88366792207266,-6.3375288759821355,non_water
449.0,442.0,560.0,590.0,623.0,1449.0,2602.0,2885.0,106.88669688746748,-6.337858366448984,non_water
453.0,473.0,494.0,447.0,521.0,478.0,439.0,773.0,106.88599454742308,-6.340676494770913,non_water
723.0,727.0,941.0,1025.0,1206.0,1667.0,2411.0,2152.0,106.88618384805069,-6.337093107030648,non_water
372.0,568.0,534.0,366.0,548.0,679.0,1078.0,784.0,106.8860414160127,-6.340850414745489,non_water
913.0,835.0,1058.0,1260.0,1402.0,1680.0,1943.0,2133.0,106.88518417183357,-6.3404237634853375,non_water
656.0,612.0,805.0,867.0,882.0,1973.0,3385.0,3161.0,106.88670879864486,-6.337594680881956,non_water
409.0,331.0,403.0,458.0,372.0,1033.0,1705.0,1572.0,106.88627889952323,-6.336878601263534,non_water
638.0,649.0,653.0,661.0,744.0,1009.0,1215.0,1053.0,106.8850019351011,-6.341375927427004,non_water
613.0,687.0,911.0,1084.0,1287.0,1987.0,2956.0,3376.0,106.88660069681555,-6.337259235189543,non_water
1281.0,1251.0,1669.0,1932.0,2031.0,2110.0,2471.0,2094.0,106.8843539619123,-6.335536435951873,non_water
521.0,590.0,861.0,807.0,729.0,2539.0,4559.0,4852.0,106.88374129701498,-6.340968087565102,non_water
665.0,775.0,1121.0,1618.0,1960.0,2723.0,3429.0,3671.0,106.88395239428615,-6.337789438745736,non_water
592.0,547.0,748.0,887.0,986.0,2069.0,2817.0,3195.0,106.88399717014772,-6.340668530755772,non_water
1358.0,1493.0,1685.0,1937.0,2007.0,2248.0,2338.0,2340.0,106.88376011990756,-6.3412963512756715,non_water
399.0,393.0,521.0,561.0,481.0,1322.0,2096.0,1866.0,106.8839002673496,-6.336410529780262,non_water
564.0,560.0,635.0,919.0,1044.0,1378.0,1709.0,1884.0,106.88469817435211,-6.337693941984308,non_water
371.0,317.0,369.0,344.0,370.0,699.0,1102.0,1162.0,106.88408364340431,-6.338151746989476,non_water
384.0,359.0,384.0,462.0,416.0,722.0,1025.0,1020.0,106.88428443708332,-6.335396224187609,non_water
544.0,615.0,814.0,1221.0,1599.0,1896.0,2231.0,2370.0,106.88425384232741,-6.335912898257712,non_water
563.0,444.0,528.0,656.0,662.0,1446.0,2244.0,2301.0,106.88636587333552,-6.33688289279782,non_water
638.0,645.0,722.0,1091.0,1372.0,1778.0,1877.0,2014.0,106.88357772234794,-6.336726716766587,non_water
813.0,717.0,882.0,1037.0,1153.0,1516.0,1682.0,1819.0,106.88685327624509,-6.341225476041772,non_water
591.0,755.0,871.0,1108.0,1326.0,1632.0,1958.0,2170.0,106.88360320004917,-6.337107572536867,non_water
