0,1,2,3,4,5,6,7,x,y,label
1652.0,1485.0,1291.0,1102.0,1029.0,969.0,945.0,594.0,701007.2696991144,9297908.47403749,water
1675.0,1505.0,1299.0,1117.0,1047.0,979.0,954.0,604.0,701036.2464762513,9297907.30238202,water
1671.0,1502.0,1323.0,1114.0,1036.0,1030.0,931.0,550.0,701614.6758985848,9298605.517432677,water
1656.0,1469.0,1303.0,1101.0,1024.0,1012.0,922.0,546.0,701708.0183178701,9298648.887083855,water
1646.0,1472.0,1260.0,1087.0,1013.0,985.0,952.0,605.0,700991.0953289929,9297930.71487228,water
1671.0,1474.0,1285.0,1103.0,1030.0,992.0,977.0,626.0,700963.1987763052,9297906.573697764,water
1636.0,1467.0,1305.0,1106.0,1029.0,998.0,918.0,565.0,701503.7650837373,9298620.470214918,water
1599.0,1416.0,1245.0,1047.0,980.0,953.0,884.0,524.0,701990.3983262645,9298863.932178944,water
1630.0,1444.0,1276.0,1082.0,1004.0,992.0,914.0,549.0,701666.0863340565,9298609.83066775,water
1597.0,1420.0,1257.0,1060.0,985.0,968.0,897.0,524.0,701711.6448380399,9298665.289895186,water
1589.0,1398.0,1242.0,1053.0,967.0,960.0,888.0,547.0,701682.7411501212,9298743.32480538,water
1636.0,1463.0,1314.0,1111.0,1029.0,1000.0,917.0,550.0,701500.8624805828,9298562.928369496,water
1647.0,1473.0,1324.0,1127.0,1041.0,1010.0,916.0,558.0,701598.1101007189,9298546.055277726,water
1636.0,1465.0,1311.0,1110.0,1030.0,992.0,912.0,545.0,701517.1850516294,9298578.043754535,water
1627.0,1444.0,1259.0,1068.0,1004.0,930.0,904.0,572.0,701065.0097337211,9297935.505299812,water
1654.0,1469.0,1300.0,1104.0,1015.0,1017.0,927.0,555.0,701672.1823173926,9298714.208432069,water
1624.0,1425.0,1264.0,1068.0,978.0,993.0,903.0,543.0,701617.143845652,9298657.29586484,water
1612.0,1415.0,1280.0,1073.0,991.0,972.0,883.0,534.0,701552.8983677505,9298618.14662621,water
1646.0,1473.0,1289.0,1098.0,1026.0,961.0,935.0,598.0,701045.8027842204,9297913.854216434,water
1638.0,1452.0,1255.0,1086.0,1011.0,962.0,933.0,601.0,700999.1817461875,9297894.889277397,water
1634.0,1446.0,1286.0,1093.0,1008.0,991.0,912.0,541.0,701624.7166981491,9298605.89119982,water
1678.0,1492.0,1294.0,1110.0,1035.0,978.0,944.0,611.0,701020.1306615004,9297949.663792858,water
1624.0,1452.0,1285.0,1081.0,1006.0,981.0,903.0,535.0,701971.7248525185,9298884.681663938,water
1659.0,1484.0,1331.0,1130.0,1056.0,1019.0,947.0,566.0,701561.7302312945,9298490.14166693,water
1624.0,1447.0,1291.0,1092.0,1013.0,992.0,894.0,544.0,701568.9135739926,9298628.519577578,water
1617.0,1451.0,1277.0,1091.0,999.0,988.0,901.0,539.0,701731.8051615843,9298679.767793639,water
1653.0,1471.0,1266.0,1087.0,1009.0,981.0,968.0,621.0,700964.588950634,9297895.52409279,water
1611.0,1424.0,1261.0,1073.0,1002.0,969.0,882.0,527.0,701944.227735285,9298827.195321213,water
1635.0,1458.0,1306.0,1110.0,1023.0,999.0,921.0,545.0,701485.9890259821,9298571.562223619,water
1634.0,1450.0,1284.0,1092.0,998.0,1000.0,907.0,538.0,701720.651875889,9298707.461511955,water
1617.0,1427.0,1251.0,1062.0,977.0,978.0,911.0,550.0,701668.4298996223,9298742.571404958,water
1633.0,1452.0,1272.0,1073.0,984.0,996.0,926.0,552.0,701635.3826174897,9298677.085805997,water
1675.0,1485.0,1287.0,1114.0,1031.0,991.0,962.0,618.0,700977.6114666928,9297903.563905817,water
1605.0,1428.0,1261.0,1065.0,993.0,951.0,879.0,530.0,702024.2765712256,9298830.522706017,water
1592.0,1414.0,1253.0,1060.0,969.0,966.0,888.0,528.0,701724.1786579823,9298738.073984262,water
1680.0,1495.0,1283.0,1112.0,1038.0,995.0,977.0,617.0,700985.4218799518,9297904.084601993,water
1611.0,1449.0,1327.0,1130.0,1076.0,1039.0,1006.0,625.0,701960.7213309779,9298922.356904421,water
1614.0,1436.0,1267.0,1077.0,994.0,989.0,909.0,544.0,701683.8044197289,9298600.031578401,water
1681.0,1494.0,1318.0,1115.0,1033.0,1032.0,938.0,557.0,701696.3872883981,9298635.010964721,water
1610.0,1439.0,1276.0,1092.0,1006.0,984.0,912.0,563.0,701807.0303570104,9298698.803942485,water
1675.0,1487.0,1285.0,1116.0,1034.0,996.0,967.0,617.0,700976.275130445,9297898.13336681,water
1656.0,1483.0,1320.0,1122.0,1039.0,1009.0,927.0,568.0,701474.414500764,9298566.88363659,water
1592.0,1419.0,1246.0,1059.0,976.0,984.0,917.0,575.0,701731.0198054699,9298720.147297377,water
1628.0,1430.0,1267.0,1069.0,995.0,964.0,901.0,544.0,702027.186318552,9298918.044660462,water
1660.0,1465.0,1329.0,1128.0,1048.0,1020.0,942.0,564.0,701504.4525982919,9298496.985307895,water
1644.0,1482.0,1315.0,1116.0,1037.0,1009.0,921.0,552.0,701575.668779514,9298536.28552866,water
1644.0,1473.0,1317.0,1128.0,1050.0,1002.0,937.0,563.0,701576.8059507048,9298492.452791909,water
1602.0,1423.0,1271.0,1074.0,993.0,961.0,882.0,528.0,701790.4510703773,9298713.262669167,water
1630.0,1448.0,1252.0,1082.0,1006.0,932.0,903.0,568.0,701092.1551240745,9297929.153085819,water
1623.0,1448.0,1301.0,1099.0,1021.0,981.0,897.0,548.0,701542.4178641897,9298524.029561253,water
1595.0,1434.0,1265.0,1074.0,995.0,963.0,889.0,528.0,701910.8602930235,9298813.22137852,water
1620.0,1453.0,1299.0,1096.0,1025.0,987.0,916.0,546.0,701510.9501329353,9298537.824442847,water
1659.0,1487.0,1315.0,1124.0,1039.0,1007.0,915.0,552.0,701577.3741974833,9298594.958138438,water
1606.0,1424.0,1257.0,1061.0,978.0,972.0,891.0,531.0,701691.0906303532,9298671.335129943,water
1608.0,1442.0,1267.0,1080.0,1001.0,960.0,881.0,540.0,701818.8255540726,9298773.660036016,water
1631.0,1450.0,1303.0,1105.0,1023.0,999.0,911.0,547.0,701583.2167441148,9298549.051598746,water
1619.0,1428.0,1271.0,1075.0,1008.0,963.0,894.0,536.0,701841.2135747175,9298761.2427586,water
1646.0,1441.0,1246.0,1056.0,970.0,948.0,899.0,540.0,701837.548710205,9298714.969016444,water
1621.0,1440.0,1265.0,1083.0,1011.0,978.0,905.0,542.0,701740.7886805825,9298649.709423654,water
1547.0,1366.0,1212.0,1030.0,954.0,924.0,851.0,508.0,701887.5721215439,9298786.993533557,water
1681.0,1496.0,1298.0,1108.0,1040.0,971.0,937.0,597.0,701040.2041093364,9297940.953185253,water
1628.0,1434.0,1275.0,1075.0,991.0,994.0,906.0,535.0,701686.2169634857,9298657.597892197,water
1630.0,1464.0,1305.0,1108.0,1032.0,994.0,914.0,540.0,701600.4577022776,9298558.632427538,water
1632.0,1452.0,1277.0,1087.0,1010.0,971.0,910.0,552.0,701812.2903883585,9298694.95845153,water
1654.0,1473.0,1315.0,1114.0,1038.0,1000.0,915.0,556.0,701513.8062102357,9298602.556520225,water
1653.0,1473.0,1272.0,1103.0,1024.0,950.0,915.0,574.0,701084.245700489,9297934.146730255,water
