,0,1,2,3,4,5,6,7,x,y,label
0,381.0,464.0,683.0,704.0,586.0,1157.0,1429.0,1357.0,106.83480877635189,-6.198097285709829,water
1,382.0,395.0,613.0,638.0,549.0,810.0,834.0,762.0,106.83475498809888,-6.198022311070682,water
2,429.0,459.0,690.0,712.0,625.0,598.0,520.0,464.0,106.83491582995583,-6.1980826859050975,water
3,458.0,506.0,742.0,794.0,694.0,531.0,428.0,284.0,106.8346759022892,-6.197666168763787,water
4,452.0,529.0,737.0,792.0,685.0,527.0,418.0,267.0,106.83482336690311,-6.1978687649579065,water
5,375.0,418.0,633.0,633.0,560.0,684.0,712.0,644.0,106.83440376344383,-6.197712852415609,water
6,430.0,485.0,708.0,730.0,658.0,521.0,399.0,321.0,106.83444679005939,-6.1978217998285725,water
7,394.0,435.0,661.0,662.0,563.0,951.0,1076.0,1023.0,106.83472130577053,-6.197888799509607,water
8,375.0,453.0,625.0,688.0,605.0,508.0,436.0,347.0,106.83460495121756,-6.197742237109862,water
9,355.0,425.0,616.0,653.0,583.0,482.0,430.0,331.0,106.83465314440865,-6.1977477750457854,water
10,357.0,400.0,558.0,583.0,511.0,588.0,541.0,459.0,106.83444338119433,-6.197772343520777,water
11,431.0,499.0,695.0,746.0,652.0,502.0,423.0,262.0,106.83471322789094,-6.197712058958461,water
12,455.0,512.0,721.0,742.0,653.0,718.0,667.0,537.0,106.83445454759799,-6.197757040017349,water
13,360.0,420.0,632.0,641.0,548.0,652.0,641.0,505.0,106.83481654522788,-6.19777426236607,water
14,428.0,488.0,686.0,739.0,663.0,777.0,747.0,681.0,106.83482393010019,-6.197807254768394,water
15,413.0,447.0,677.0,711.0,610.0,537.0,464.0,378.0,106.83483189510522,-6.197787578614465,water
16,382.0,462.0,629.0,676.0,590.0,862.0,960.0,853.0,106.83480530216086,-6.198070418556854,water
17,420.0,457.0,676.0,700.0,621.0,657.0,594.0,467.0,106.8347850966373,-6.197858892053044,water
18,362.0,420.0,643.0,619.0,544.0,738.0,829.0,790.0,106.834550972381,-6.197594541801525,water
19,437.0,503.0,710.0,778.0,686.0,772.0,777.0,685.0,106.8346493398043,-6.197906235981679,water
20,393.0,446.0,638.0,659.0,597.0,553.0,507.0,409.0,106.83452236935892,-6.197717328505421,water
21,395.0,440.0,639.0,662.0,594.0,567.0,562.0,470.0,106.8345973857669,-6.1976143112186515,water
22,389.0,429.0,610.0,652.0,572.0,530.0,459.0,396.0,106.83494933903323,-6.197920382719463,water
23,407.0,445.0,655.0,686.0,606.0,562.0,527.0,420.0,106.83478693152662,-6.1979489386667375,water
24,429.0,476.0,714.0,726.0,640.0,666.0,662.0,595.0,106.8345889792639,-6.197622565637816,water
25,447.0,490.0,730.0,761.0,638.0,1069.0,1194.0,1121.0,106.834859280841,-6.197920613722676,water
26,448.0,510.0,744.0,775.0,719.0,638.0,552.0,488.0,106.8344902831758,-6.197954425772343,water
27,415.0,484.0,717.0,756.0,677.0,741.0,699.0,589.0,106.83465697198729,-6.197860488167517,water
28,493.0,590.0,820.0,889.0,787.0,610.0,441.0,301.0,106.83478111366078,-6.197909016394359,water
29,364.0,416.0,607.0,609.0,512.0,945.0,1086.0,966.0,106.83485787284435,-6.198006477656426,water
30,387.0,416.0,604.0,648.0,556.0,666.0,694.0,546.0,106.83449835924556,-6.1977687867556375,water
31,384.0,429.0,662.0,679.0,562.0,894.0,1037.0,921.0,106.8346827733172,-6.1978621755535155,water
32,431.0,492.0,718.0,762.0,688.0,503.0,412.0,286.0,106.83466410837742,-6.197761492588618,water
33,375.0,425.0,611.0,631.0,536.0,562.0,533.0,379.0,106.83448024151514,-6.197636508110556,water
34,407.0,468.0,670.0,726.0,635.0,563.0,478.0,333.0,106.83455566806391,-6.197790797615811,water
35,463.0,530.0,736.0,797.0,717.0,899.0,901.0,810.0,106.83482132870256,-6.1978119991279375,water
36,397.0,446.0,670.0,690.0,589.0,820.0,847.0,758.0,106.83483697115932,-6.1979366378180565,water
37,399.0,466.0,722.0,762.0,679.0,708.0,646.0,512.0,106.834653399361,-6.1980078794013105,water
38,413.0,444.0,658.0,651.0,562.0,1382.0,1621.0,1545.0,106.83496489227376,-6.198024548054841,water
39,401.0,458.0,682.0,730.0,630.0,505.0,403.0,273.0,106.8345989025234,-6.197798802511068,water
40,438.0,507.0,749.0,830.0,736.0,550.0,422.0,285.0,106.83471242530904,-6.198068027334345,water
41,391.0,416.0,639.0,649.0,557.0,767.0,856.0,643.0,106.83477725559453,-6.197833017590184,water
42,477.0,513.0,745.0,800.0,678.0,973.0,1030.0,928.0,106.83466935240477,-6.197716548573252,water
43,412.0,470.0,672.0,699.0,639.0,681.0,719.0,611.0,106.8345398757327,-6.197719024423622,water
44,393.0,435.0,655.0,698.0,593.0,736.0,762.0,617.0,106.83467713582453,-6.1978798527534735,water
45,407.0,450.0,671.0,713.0,606.0,668.0,721.0,543.0,106.83472388915237,-6.197857990943326,water
46,448.0,501.0,736.0,780.0,684.0,538.0,443.0,346.0,106.83484887591531,-6.198087789579438,water
47,411.0,471.0,667.0,721.0,618.0,767.0,823.0,694.0,106.83450183309229,-6.197787411588793,water
48,347.0,394.0,660.0,657.0,549.0,858.0,918.0,842.0,106.83473000949469,-6.197926226148557,water
49,427.0,457.0,671.0,701.0,616.0,644.0,587.0,554.0,106.8349422602151,-6.197954219591673,water
50,414.0,442.0,665.0,704.0,612.0,505.0,444.0,367.0,106.83484304053681,-6.197793279217644,water
51,596.0,655.0,1005.0,1041.0,914.0,1103.0,1227.0,975.0,106.83468171484937,-6.197804469565232,water
52,381.0,439.0,643.0,661.0,574.0,523.0,465.0,339.0,106.83479401526884,-6.19765251910777,water
53,386.0,437.0,620.0,653.0,583.0,526.0,469.0,365.0,106.83450132612259,-6.197707253453093,water
54,385.0,395.0,641.0,634.0,536.0,1026.0,1152.0,1059.0,106.83474568721817,-6.198014214841256,water
55,410.0,449.0,673.0,708.0,588.0,883.0,1050.0,831.0,106.8347135366111,-6.197867494774855,water
56,398.0,439.0,647.0,673.0,590.0,651.0,627.0,549.0,106.83478021125987,-6.197951548619128,water
57,381.0,408.0,616.0,629.0,523.0,869.0,980.0,861.0,106.8348349746703,-6.198021678659316,water
58,460.0,538.0,758.0,830.0,719.0,1065.0,1152.0,1095.0,106.83466271040687,-6.197932874151078,water
59,411.0,441.0,632.0,662.0,588.0,604.0,557.0,444.0,106.83473510393902,-6.197745852527693,water
60,360.0,416.0,628.0,631.0,540.0,706.0,715.0,622.0,106.83490127473526,-6.1980446311983926,water
61,495.0,548.0,797.0,831.0,730.0,829.0,828.0,661.0,106.83448736056289,-6.19775465858871,water
62,361.0,391.0,594.0,609.0,537.0,592.0,619.0,435.0,106.83478688807303,-6.197845100149231,water
63,398.0,454.0,649.0,719.0,632.0,636.0,624.0,521.0,106.8346442524051,-6.197952656534452,water
64,452.0,506.0,868.0,817.0,664.0,1364.0,1583.0,1461.0,106.83471013032084,-6.197926082753521,water
65,393.0,461.0,632.0,699.0,603.0,798.0,904.0,777.0,106.8345100744068,-6.197790048028417,water
66,445.0,494.0,693.0,726.0,635.0,755.0,729.0,620.0,106.8344489537126,-6.197777094025225,water
